molecule_type,conformer,dir_name,ref_rel_energy_kcal,model_rel_energy_kcal,error_kcal
A12,0,A120,0.0,0.0,0.0
A12,1,A121,0.0,1.7094967377488501,1.7094967377488501
A12,2,A122,0.0,1.8629762149066664,1.8629762149066664
A12,3,A123,0.0,2.3143830169574358,2.3143830169574358
A12,4,A124,0.0,2.709737785975449,2.709737785975449
A12,5,A125,0.0,3.453081730811391,3.453081730811391
A12,6,A126,0.0,3.554906275239773,3.554906275239773
A12,7,A127,0.0,3.8675823996891268,3.8675823996891268
A12,8,A128,0.0,3.8536615165066905,3.8536615165066905
A12,9,A129,0.0,4.626300529576838,4.626300529576838
A12,10,A1210,0.0,4.956931408727542,4.956931408727542
A12,11,A1211,0.0,5.542226797784679,5.542226797784679
A12,12,A1212,0.0,6.206427895638626,6.206427895638626
A16,0,A1600,0.0,0.0,0.0
A16,1,A161,0.0,2.7982278583804145,2.7982278583804145
A16,2,A162,0.0,3.4404447958804667,3.4404447958804667
A16,3,A163,0.0,3.1660964051261544,3.1660964051261544
A16,4,A164,0.0,3.3575986949144863,3.3575986949144863
A16,5,A165,0.0,3.8868835349567235,3.8868835349567235
A16,6,A166,0.0,3.9087297117803246,3.9087297117803246
A16,7,A167,0.0,3.896474144246895,3.896474144246895
A16,8,A168,0.0,4.256554132385645,4.256554132385645
A16,9,A169,0.0,4.569026435667183,4.569026435667183
A16,10,A1610,0.0,4.501535887422506,4.501535887422506
A16,11,A1611,0.0,4.983912628551479,4.983912628551479
A16,12,A1612,0.0,5.020362626819406,5.020362626819406
A16,13,A1613,0.0,5.627967533946503,5.627967533946503
A16,14,A1614,0.0,5.531568826234434,5.531568826234434
A16,15,A1615,0.0,5.902048882388044,5.902048882388044
A16,16,A1616,0.0,6.592036152549554,6.592036152549554
A20,0,A2000,0.0,0.0,0.0
A20,1,A201,0.0,4.3484767394838855,4.3484767394838855
A20,2,A202,0.0,4.497926403826568,4.497926403826568
A20,3,A203,0.0,4.708430778933689,4.708430778933689
A20,4,A204,0.0,5.2453105330932885,5.2453105330932885
A20,5,A205,0.0,5.104348903871141,5.104348903871141
A20,6,A206,0.0,5.18262810370652,5.18262810370652
A20,7,A207,0.0,5.4868909132201225,5.4868909132201225
A20,8,A208,0.0,5.0972365058842115,5.0972365058842115
A20,9,A209,0.0,5.870414344535675,5.870414344535675
A20,10,A2010,0.0,5.752164260833524,5.752164260833524
A20,11,A2011,0.0,5.733401487232186,5.733401487232186
A20,12,A2012,0.0,5.880518448539078,5.880518448539078
A20,13,A2013,0.0,6.16539495420875,6.16539495420875
A20,14,A2014,0.0,6.141680609434843,6.141680609434843
A20,15,A2015,0.0,6.517106329265516,6.517106329265516
A20,16,A2016,0.0,6.06289627996739,6.06289627996739
A20,17,A2017,0.0,6.399626861442812,6.399626861442812
A20,18,A2018,0.0,6.64386555168312,6.64386555168312
A20,19,A2019,0.0,6.731947383843362,6.731947383843362
A20,20,A2020,0.0,7.337837732047774,7.337837732047774
