molecule_type,conformer,dir_name,ref_rel_energy_kcal,model_rel_energy_kcal,error_kcal
A12,0,A120,0.0,0.0,0.0
A12,1,A121,1.876,1.7418303715530783,-0.1341696284469216
A12,2,A122,2.122,1.805365988635458,-0.31663401136454183
A12,3,A123,2.567,2.2921425023814663,-0.27485749761853384
A12,4,A124,3.27,2.6312080531497486,-0.6387919468502514
A12,5,A125,3.73,3.432286841562018,-0.2977131584379822
A12,6,A126,3.961,3.492314694391098,-0.468685305608902
A12,7,A127,4.24,3.864027743751649,-0.3759722562483514
A12,8,A128,4.433,3.790683582134079,-0.6423164178659206
A12,9,A129,4.986,4.564393012493383,-0.4216069875066166
A12,10,A1210,5.563,4.93326906132279,-0.6297309386772101
A12,11,A1211,6.105,5.473112880077679,-0.6318871199223217
A12,12,A1212,6.661,6.2192440259386785,-0.44175597406132106
A16,0,A160,0.323,0.0,-0.323
A16,1,A161,2.577,1.8243453024188057,-0.7526546975811943
A16,2,A162,3.393,2.4338385843439028,-0.959161415656097
A16,3,A163,2.969,2.237634704913944,-0.7313652950860559
A16,4,A164,3.067,2.452246099594049,-0.614753900405951
A16,5,A165,3.781,2.931479270802811,-0.8495207291971894
A16,6,A166,3.652,2.9744961163960397,-0.6775038836039604
A16,7,A167,3.713,2.931182375352364,-0.781817624647636
A16,8,A168,4.103,3.290623747976497,-0.8123762520235029
A16,9,A169,4.394,3.668582597048953,-0.725417402951047
A16,10,A1610,4.532,3.5778645560494624,-0.9541354439505376
A16,11,A1611,4.758,4.082872647035401,-0.6751273529645987
A16,12,A1612,4.97,4.148167644278146,-0.8218323557218534
A16,13,A1613,5.43,4.764687450893689,-0.6653125491063108
A16,14,A1614,5.359,4.601087085553445,-0.7579129144465551
A16,15,A1615,6.363,4.853052320831921,-1.5099476791680795
A16,16,A1616,6.575,5.722900882363319,-0.8520991176366808
A20,0,A200,1.984,0.0,-1.984
A20,1,A201,4.122,1.4003786613466218,-2.721621338653378
A20,2,A202,5.132,1.4389310797560029,-3.693068920243997
A20,3,A203,4.844,1.754871777142398,-3.0891282228576022
A20,4,A204,5.282,2.327989873709157,-2.954010126290843
A20,5,A205,4.665,2.393394832208287,-2.271605167791713
A20,6,A206,4.879,2.4807260663365014,-2.398273933663498
A20,7,A207,5.153,2.8333938252180815,-2.319606174781918
A20,8,A208,5.282,2.1763532936456613,-3.1056467063543387
A20,9,A209,5.692,3.147179281921126,-2.5448207180788742
A20,10,A2010,5.492,3.035480632155668,-2.456519367844332
A20,11,A2011,5.495,3.0864366808673367,-2.4085633191326634
A20,12,A2012,5.632,3.244385037338361,-2.3876149626616385
A20,13,A2013,6.033,3.555553416023031,-2.4774465839769695
A20,14,A2014,6.388,3.144870095420629,-3.243129904579371
A20,15,A2015,6.459,3.8348770132288337,-2.624122986771166
A20,16,A2016,5.926,3.316893493407406,-2.6091065065925942
A20,17,A2017,6.268,3.711302547249943,-2.5566974527500568
A20,18,A2018,6.771,3.751878252835013,-3.019121747164987
A20,19,A2019,6.565,4.027199260133784,-2.537800739866216
A20,20,A2020,8.01,4.306456880643964,-3.703543119356036
